Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,TrackStatus,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,IsPersonalBest
VER,Red Bull Racing,1.0,,,0:42:643,0:37:469,TEST_UNKNOWN,1.0,1,235.0,240.0,288.0,203.0,,False
VER,Red Bull Racing,2.0,1:15:655,0:22:477,0:30:330,0:22:848,TEST_UNKNOWN,2.0,1,283.0,293.0,291.0,323.0,,True
VER,Red Bull Racing,3.0,2:05:478,0:39:092,0:55:848,0:30:538,TEST_UNKNOWN,3.0,1,139.0,152.0,291.0,190.0,,False
VER,Red Bull Racing,4.0,1:15:718,0:22:350,0:30:467,0:22:901,TEST_UNKNOWN,4.0,1,285.0,303.0,291.0,324.0,,False
VER,Red Bull Racing,5.0,1:28:200,0:25:115,0:33:965,0:29:120,TEST_UNKNOWN,5.0,1,219.0,235.0,,273.0,,False
VER,Red Bull Racing,6.0,2:15:249,1:00:422,0:44:519,0:30:308,MEDIUM,1.0,1,214.0,224.0,290.0,216.0,,False
VER,Red Bull Racing,7.0,1:14:968,0:22:268,0:30:016,0:22:684,MEDIUM,2.0,1,285.0,302.0,291.0,323.0,,True
VER,Red Bull Racing,8.0,1:47:059,0:34:130,0:42:392,0:30:537,MEDIUM,3.0,1,176.0,185.0,,197.0,,False
VER,Red Bull Racing,9.0,,,0:44:066,0:26:004,SOFT,1.0,1,195.0,252.0,292.0,215.0,,False
VER,Red Bull Racing,10.0,1:13:907,0:22:000,0:29:585,0:22:322,SOFT,2.0,1,286.0,299.0,288.0,322.0,,True
VER,Red Bull Racing,11.0,1:31:981,0:26:857,0:34:822,0:30:302,SOFT,3.0,1,220.0,220.0,,239.0,,False
VER,Red Bull Racing,12.0,,,0:41:907,0:24:042,MEDIUM,4.0,1,97.0,257.0,275.0,197.0,,False
VER,Red Bull Racing,13.0,1:20:186,0:23:986,0:32:166,0:24:034,MEDIUM,5.0,1,255.0,254.0,275.0,299.0,,False
VER,Red Bull Racing,14.0,1:19:654,0:23:923,0:32:012,0:23:719,MEDIUM,6.0,1,259.0,264.0,277.0,300.0,,False
VER,Red Bull Racing,15.0,1:20:302,0:24:099,0:32:076,0:24:127,MEDIUM,7.0,1,255.0,261.0,274.0,301.0,,False
VER,Red Bull Racing,16.0,1:20:349,0:24:084,0:32:191,0:24:074,MEDIUM,8.0,1,253.0,264.0,275.0,303.0,,False
VER,Red Bull Racing,17.0,1:20:189,0:23:926,0:32:159,0:24:104,MEDIUM,9.0,1,250.0,261.0,277.0,,,False
VER,Red Bull Racing,18.0,1:19:877,0:23:843,0:32:021,0:24:013,MEDIUM,10.0,1,256.0,267.0,277.0,302.0,,False
VER,Red Bull Racing,19.0,1:19:713,0:23:669,0:31:954,0:24:090,MEDIUM,11.0,1,263.0,263.0,287.0,304.0,,False
VER,Red Bull Racing,20.0,1:19:623,0:23:443,0:32:151,0:24:029,MEDIUM,12.0,1,261.0,271.0,275.0,324.0,,False
VER,Red Bull Racing,21.0,1:19:630,0:23:758,0:31:871,0:24:001,MEDIUM,13.0,1,264.0,267.0,276.0,301.0,,False
VER,Red Bull Racing,22.0,1:23:402,0:23:733,0:32:040,0:27:629,MEDIUM,14.0,1,261.0,266.0,,302.0,,False
VER,Red Bull Racing,23.0,1:40:751,0:43:150,0:32:332,0:25:269,SOFT,4.0,1,250.0,250.0,276.0,248.0,,False
VER,Red Bull Racing,24.0,1:19:170,0:23:756,0:31:784,0:23:630,SOFT,5.0,1,255.0,264.0,286.0,302.0,,False
VER,Red Bull Racing,25.0,1:19:103,0:23:666,0:31:828,0:23:609,SOFT,6.0,1,260.0,262.0,279.0,328.0,,False
VER,Red Bull Racing,26.0,1:19:480,0:23:700,0:31:868,0:23:912,SOFT,7.0,1,,262.0,276.0,302.0,,False
VER,Red Bull Racing,27.0,1:19:472,0:23:753,0:31:789,0:23:930,SOFT,8.0,1,259.0,264.0,276.0,303.0,,False
VER,Red Bull Racing,28.0,1:19:583,0:23:777,0:31:858,0:23:948,SOFT,9.0,1,258.0,266.0,276.0,,,False
VER,Red Bull Racing,29.0,1:25:581,0:23:675,0:31:923,0:29:983,SOFT,10.0,1,260.0,257.0,275.0,,,False
VER,Red Bull Racing,30.0,1:19:426,0:23:707,0:31:784,0:23:935,SOFT,11.0,1,256.0,263.0,276.0,301.0,,False
VER,Red Bull Racing,31.0,1:19:456,0:23:632,0:31:853,0:23:971,SOFT,12.0,1,258.0,266.0,278.0,302.0,,False
VER,Red Bull Racing,32.0,1:18:679,0:23:421,0:31:570,0:23:688,SOFT,13.0,1,264.0,268.0,280.0,303.0,,False
VER,Red Bull Racing,33.0,,0:40:421,1:11:806,0:51:088,SOFT,14.0,1,112.0,87.0,47.0,188.0,,False
VER,Red Bull Racing,34.0,1:53:863,0:51:539,0:33:970,0:28:354,SOFT,15.0,1,221.0,229.0,,272.0,,False
SAR,Williams,1.0,,,0:38:177,0:39:756,TEST_UNKNOWN,1.0,1,216.0,254.0,277.0,210.0,,False
SAR,Williams,2.0,1:18:095,0:23:363,0:31:403,0:23:329,TEST_UNKNOWN,2.0,1,278.0,270.0,286.0,317.0,,True
SAR,Williams,3.0,1:53:811,0:29:483,0:45:098,0:39:230,TEST_UNKNOWN,3.0,1,214.0,236.0,286.0,304.0,,False
SAR,Williams,4.0,1:37:872,0:26:495,0:42:466,0:28:911,TEST_UNKNOWN,4.0,1,239.0,248.0,289.0,325.0,,False
SAR,Williams,5.0,1:16:706,0:22:655,0:30:909,0:23:142,TEST_UNKNOWN,5.0,1,285.0,297.0,293.0,326.0,,True
SAR,Williams,6.0,1:47:880,0:28:964,0:45:280,0:33:636,TEST_UNKNOWN,6.0,1,219.0,243.0,285.0,309.0,,False
SAR,Williams,7.0,1:22:881,0:22:771,0:30:960,0:29:150,TEST_UNKNOWN,7.0,1,283.0,298.0,,320.0,,False
SAR,Williams,8.0,,,0:41:265,0:32:297,SOFT,1.0,1,203.0,252.0,285.0,219.0,,False
SAR,Williams,9.0,1:15:415,0:22:482,0:30:188,0:22:745,SOFT,2.0,1,283.0,300.0,289.0,318.0,,True
SAR,Williams,10.0,1:54:679,0:29:507,0:45:682,0:39:490,SOFT,3.0,1,229.0,227.0,,306.0,,False
SAR,Williams,11.0,1:58:878,0:46:704,0:43:999,0:28:175,SOFT,4.0,1,203.0,249.0,286.0,221.0,,False
SAR,Williams,12.0,1:15:556,0:22:368,0:30:320,0:22:868,SOFT,5.0,1,284.0,300.0,288.0,318.0,,False
SAR,Williams,13.0,1:46:245,0:29:346,0:40:596,0:36:303,SOFT,6.0,1,246.0,244.0,,304.0,,False
SAR,Williams,14.0,,,0:33:170,0:24:460,SOFT,7.0,1,266.0,274.0,271.0,232.0,,False
SAR,Williams,15.0,1:21:620,0:24:405,0:32:702,0:24:513,SOFT,8.0,1,264.0,264.0,270.0,295.0,,False
SAR,Williams,16.0,1:21:287,0:24:130,0:32:740,0:24:417,SOFT,9.0,1,265.0,266.0,271.0,296.0,,False
SAR,Williams,17.0,1:21:646,0:24:300,0:32:915,0:24:431,SOFT,10.0,1,266.0,266.0,271.0,297.0,,False
SAR,Williams,18.0,1:22:260,0:24:836,0:32:875,0:24:549,SOFT,11.0,1,,265.0,272.0,301.0,,False
SAR,Williams,19.0,1:21:581,0:24:071,0:32:984,0:24:526,SOFT,12.0,1,267.0,265.0,271.0,302.0,,False
SAR,Williams,20.0,1:21:458,0:24:223,0:32:695,0:24:540,SOFT,13.0,1,266.0,268.0,271.0,301.0,,False
SAR,Williams,21.0,1:21:308,0:24:068,0:32:788,0:24:452,SOFT,14.0,1,269.0,270.0,270.0,303.0,,False
SAR,Williams,22.0,1:25:327,0:24:058,0:32:862,0:28:407,SOFT,15.0,1,267.0,272.0,,301.0,,False
SAR,Williams,23.0,1:43:010,0:45:594,0:33:012,0:24:404,MEDIUM,1.0,1,251.0,264.0,271.0,247.0,,False
SAR,Williams,24.0,1:20:406,0:23:974,0:32:365,0:24:067,MEDIUM,2.0,1,267.0,281.0,281.0,302.0,,False
SAR,Williams,25.0,1:21:587,0:24:606,0:32:651,0:24:330,MEDIUM,3.0,1,262.0,263.0,282.0,327.0,,False
SAR,Williams,26.0,1:22:398,0:23:707,0:34:305,0:24:386,MEDIUM,4.0,1,,263.0,273.0,,,False
SAR,Williams,27.0,1:20:858,0:23:934,0:32:652,0:24:272,MEDIUM,5.0,1,268.0,270.0,273.0,302.0,,False
SAR,Williams,28.0,1:20:793,0:23:909,0:32:541,0:24:343,MEDIUM,6.0,1,269.0,272.0,273.0,,,False
SAR,Williams,29.0,1:20:581,0:23:918,0:32:449,0:24:214,MEDIUM,7.0,1,271.0,270.0,273.0,300.0,,False
SAR,Williams,30.0,1:20:581,0:23:893,0:32:393,0:24:295,MEDIUM,8.0,1,,271.0,274.0,301.0,,False
SAR,Williams,31.0,1:20:387,0:23:828,0:32:351,0:24:208,MEDIUM,9.0,1,270.0,271.0,274.0,,,False
SAR,Williams,32.0,1:58:216,0:30:479,0:43:058,0:44:679,MEDIUM,10.0,1,153.0,172.0,38.0,285.0,,False
SAR,Williams,33.0,2:01:228,0:50:845,0:40:361,0:30:022,MEDIUM,11.0,1,188.0,253.0,,256.0,,False
NOR,McLaren,1.0,,,0:38:414,0:40:160,MEDIUM,1.0,1,187.0,239.0,283.0,238.0,,False
NOR,McLaren,2.0,1:16:594,0:22:817,0:30:550,0:23:227,MEDIUM,2.0,1,277.0,291.0,289.0,317.0,,True
NOR,McLaren,3.0,2:14:923,0:43:973,0:56:679,0:34:271,MEDIUM,3.0,1,114.0,113.0,288.0,183.0,,False
NOR,McLaren,4.0,1:15:926,0:22:449,0:30:575,0:22:902,MEDIUM,4.0,1,280.0,300.0,287.0,320.0,,True
